app_id,category_short,category_long
com.jimmybrings,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.digitalpour.menu,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.dalkomm.beatorder,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.nexstream.gigiCoffee,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.cafejavas,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.shakeandstraincocktails,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.ratebeer,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.joejuice.joeloyalty,Food & Drink,/store/apps/category/FOOD_AND_DRINK
digital.raisin,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.lamotte.brewingwateradjustment,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.winesearcher,Food & Drink,/store/apps/category/FOOD_AND_DRINK
appcent.mobi.waterboyandroid,Food & Drink,/store/apps/category/FOOD_AND_DRINK
ru.bartello.app,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.przemyslawbobak.filtrucoffee,Food & Drink,/store/apps/category/FOOD_AND_DRINK
uk.co.u24,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.thehumanbean.thehumanbean.android.app,Food & Drink,/store/apps/category/FOOD_AND_DRINK
at.co.babos.beertasting,Food & Drink,/store/apps/category/FOOD_AND_DRINK
se.leeroygroup.waynescoffee,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.kopikenangan,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.thecoffeehouse.guestapp,Food & Drink,/store/apps/category/FOOD_AND_DRINK
de.atino.melitta.connect,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.hachette.ghv,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.apptivity.brewtimer,Food & Drink,/store/apps/category/FOOD_AND_DRINK
ca.craver.rookcoffee,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.warpkode.brewfather,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.iesa.tuComunidadVecinos,House & Home,/store/apps/category/HOUSE_AND_HOME
jp.goodrooms.goodroom_android,House & Home,/store/apps/category/HOUSE_AND_HOME
net.daum.realestate,House & Home,/store/apps/category/HOUSE_AND_HOME
nl.intoapps.jaap,House & Home,/store/apps/category/HOUSE_AND_HOME
com.boliga.boliga,House & Home,/store/apps/category/HOUSE_AND_HOME
me.aftergrowth.disco,House & Home,/store/apps/category/HOUSE_AND_HOME
com.sanags.a4f3client,House & Home,/store/apps/category/HOUSE_AND_HOME
ch.flatfox.android,House & Home,/store/apps/category/HOUSE_AND_HOME
com.realmaster,House & Home,/store/apps/category/HOUSE_AND_HOME
com.urbanindo.android,House & Home,/store/apps/category/HOUSE_AND_HOME
com.iproperty.android.search,House & Home,/store/apps/category/HOUSE_AND_HOME
com.nifty.myhome.rent,House & Home,/store/apps/category/HOUSE_AND_HOME
com.housefun.buyapp,House & Home,/store/apps/category/HOUSE_AND_HOME
com.allproperty.android.consumer.sg,House & Home,/store/apps/category/HOUSE_AND_HOME
com.mediawill.land,House & Home,/store/apps/category/HOUSE_AND_HOME
